,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Lee Bu Sung Francis,Associate Professor,M,N,Computer Networks,1,"['Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong']","['Yeo Chai Kiat', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Cai Wentong', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas']","['Yeo Chai Kiat', 'Cai Wentong', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Chia Liang Tien Clement']","['Cai Wentong', 'Lau Chiew Tong', 'Yeo Chai Kiat', 'Chia Liang Tien Clement', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung']","['Yeo Chai Kiat', 'Cai Wentong', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung']","['Yeo Chai Kiat', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cai Wentong', 'Ong Yew Soon', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Huang Shell Ying']","['Tang Xueyan', 'Yeo Chai Kiat', 'Ong Yew Soon', 'Cai Wentong', 'Miao Chunyan', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Cai Jianfei', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Huang Shell Ying']","['Ong Yew Soon', 'Yeo Chai Kiat', 'Cai Wentong', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei']","['Miao Chunyan', 'Yeo Chai Kiat', 'Tang Xueyan', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Deepu Rajan', 'Cai Jianfei']","['Cai Wentong', 'Miao Chunyan', 'Shen Zhiqi', 'Yeo Chai Kiat', 'Dusit Niyato', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Deepu Rajan', 'Cai Jianfei']","['Yeo Chai Kiat', 'Tang Xueyan', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi']","['Lin Weisi', 'Lau Chiew Tong', 'Liang Qianhui', 'Tang Xueyan', 'Yeo Chai Kiat', 'Dusit Niyato', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi']","['Yeo Chai Kiat', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi']","['Yeo Chai Kiat', 'Lin Weisi', 'Lau Chiew Tong', 'Chng Eng Siong', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin']","['Liang Qianhui', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato', 'Tang Xueyan', 'Yeo Chai Kiat', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong']","['Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong']","['Deepu Rajan', 'Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong']","['Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong']","['Yeo Chai Kiat', 'Lau Chiew Tong', 'Miao Chunyan', 'Vun Chan Hua Nicholas', 'Oh Hong Lye', 'Cai Wentong', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong']","['Deepu Rajan', 'Cai Wentong', 'Chia Liang Tien Clement', 'Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong', 'Oh Hong Lye']","['Yeo Chai Kiat', 'Cai Wentong', 'Chan Syin', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong', 'Oh Hong Lye']","['Cai Wentong', 'Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Tang Xueyan', 'Miao Chunyan', 'Deepu Rajan', 'Cai Jianfei', 'Shen Zhiqi', 'Dusit Niyato', 'Lin Weisi', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin', 'Chng Eng Siong', 'Oh Hong Lye', 'Chan Syin']"
32,Li Fang Flora,Senior Lecturer,F,N,Computer Vision,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
33,Li Mo,Associate Professor,M,N,Computer Networks,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Sun Chengzheng'],['Sun Chengzheng'],['Sun Chengzheng'],['Sun Chengzheng'],['Sun Chengzheng'],"['Zhao Jun', 'Sun Chengzheng']","['Sun Chengzheng', 'Zhao Jun']","['Sun Chengzheng', 'Zhao Jun']"
34,Li Yi,Assistant Professor,M,N,Software Engg,4,[],[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],"['Lin Shang-Wei', 'Liu Yang']","['Liu Yang', 'Lin Shang-Wei']","['Liu Yang', 'Lin Shang-Wei']"
35,Liang Qianhui,Lecturer,F,N,AI/ML,1,[],[],[],[],[],[],[],[],[],[],[],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis']
36,Lin Feng,Associate Professor,M,N,Bioinformatics,0,['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],"['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']","['Qian Kemao', 'Seah Hock Soon']","['Seah Hock Soon', 'Qian Kemao']","['Qian Kemao', 'Seah Hock Soon']","['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']","['Qian Kemao', 'Seah Hock Soon']","['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']","['Seah Hock Soon', 'Qian Kemao']"
37,Lin Guosheng,Assistant Professor,M,N,Computer Vision,20,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Lin Weisi', 'Pan Sinno Jialin', 'Cai Jianfei']","['Cai Jianfei', 'Lin Weisi', 'Tan Rui', 'Pan Sinno Jialin']","['Lin Weisi', 'Cai Jianfei', 'Miao Chunyan', 'Tan Rui', 'Pan Sinno Jialin']","['Lin Weisi', 'Pan Sinno Jialin', 'Cai Jianfei', 'Tan Rui', 'Miao Chunyan']"
38,Lin Shang-Wei,Assistant Professor,M,N,Software Engg,1,[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],"['Liu Yang', 'Li Yi']","['Liu Yang', 'Lin Weisi', 'Li Yi']","['Liu Yang', 'Li Yi', 'Lin Weisi']"
39,Lin Weisi,Professor,M,N,Multimedia,12,[],[],[],[],[],[],[],[],['Cai Jianfei'],['Cai Jianfei'],"['Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Cai Jianfei']","['Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cai Jianfei', 'Zheng Jianmin', 'Seah Hock Soon', 'Chia Liang Tien Clement']","['Seah Hock Soon', 'Chia Liang Tien Clement', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cai Jianfei', 'Zheng Jianmin']","['Lau Chiew Tong', 'Lee Bu Sung Francis', 'Thambipillai Srikanthan', 'Seah Hock Soon', 'Cai Jianfei', 'Chia Liang Tien Clement', 'Zheng Jianmin']","['Seah Hock Soon', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Cai Jianfei', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Thambipillai Srikanthan']","['Kwoh Chee Keong', 'Cai Jianfei', 'Seah Hock Soon', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Thambipillai Srikanthan']","['Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan']","['Ng Wee Keong', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Kwoh Chee Keong', 'Wen Yonggang']","['Lin Guosheng', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong']","['Lin Guosheng', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong']","['Lin Guosheng', 'Lin Shang-Wei', 'Liu Yang', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong']","['Lin Guosheng', 'Cai Jianfei', 'Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement', 'Zheng Jianmin', 'Seah Hock Soon', 'Thambipillai Srikanthan', 'Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong', 'Lin Shang-Wei', 'Liu Yang']"
40,Liu Weichen,Assistant Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Zhang Hanwang'],['Zhang Hanwang']
